"Interval","Hour","GMTIntervalEnd","variable","value","ModifiedAt"
2020-12-19 19:50:00,19,"12/20/2020 01:50:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 19:45:00,19,"12/20/2020 01:45:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 19:40:00,19,"12/20/2020 01:40:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 19:35:00,19,"12/20/2020 01:35:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 19:30:00,19,"12/20/2020 01:30:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 19:25:00,19,"12/20/2020 01:25:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 19:20:00,19,"12/20/2020 01:20:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 19:15:00,19,"12/20/2020 01:15:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 19:10:00,19,"12/20/2020 01:10:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 19:05:00,19,"12/20/2020 01:05:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 19:00:00,19,"12/20/2020 01:00:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 18:55:00,18,"12/20/2020 00:55:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 18:50:00,18,"12/20/2020 00:50:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 18:45:00,18,"12/20/2020 00:45:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 18:40:00,18,"12/20/2020 00:40:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 18:35:00,18,"12/20/2020 00:35:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 18:30:00,18,"12/20/2020 00:30:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 18:25:00,18,"12/20/2020 00:25:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 18:20:00,18,"12/20/2020 00:20:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 18:15:00,18,"12/20/2020 00:15:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 18:10:00,18,"12/20/2020 00:10:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 18:05:00,18,"12/20/2020 00:05:00","wind_pen_actual",NA,2020-12-13 14:08:22
2020-12-19 18:00:00,18,"12/20/2020 00:00:00","wind_pen_actual",NA,2020-12-13 14:08:22
